"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"Indiana",35.3,"",1450,"Income","$15,000 - $24,999"
2011,"Indiana",32,"",878,"Income","$25,000 - $34,999"
2011,"Indiana",30.3,"",1106,"Income","$35,000 - $49,999"
2011,"Indiana",32,"",1035,"Income","$50,000 - $74,999"
2011,"Indiana",26.4,"",1466,"Income","$75,000 or greater"
2011,"Indiana",27.5,"",1164,"Income","Data not reported"
2011,"Indiana",35,"",949,"Income","Less than $15,000"
2011,"Iowa",33.8,"",999,"Income","$15,000 - $24,999"
2011,"Iowa",32.1,"",721,"Income","$25,000 - $34,999"
2011,"Iowa",32.7,"",979,"Income","$35,000 - $49,999"
2011,"Iowa",33.3,"",1012,"Income","$50,000 - $74,999"
2011,"Iowa",25,"",1652,"Income","$75,000 or greater"
2011,"Iowa",20.1,"",956,"Income","Data not reported"
2011,"Iowa",28.5,"",579,"Income","Less than $15,000"
2011,"Kansas",31.8,"",3008,"Income","$15,000 - $24,999"
2011,"Kansas",30.9,"",2259,"Income","$25,000 - $34,999"
2011,"Kansas",32.7,"",2800,"Income","$35,000 - $49,999"
2011,"Kansas",31,"",2958,"Income","$50,000 - $74,999"
2011,"Kansas",25.6,"",4436,"Income","$75,000 or greater"
2011,"Kansas",24.4,"",2590,"Income","Data not reported"
2011,"Kansas",35.8,"",1568,"Income","Less than $15,000"
2011,"Kentucky",35.6,"",1200,"Income","$15,000 - $24,999"
2011,"Kentucky",30,"",866,"Income","$25,000 - $34,999"
2011,"Kentucky",33.7,"",1069,"Income","$35,000 - $49,999"
2011,"Kentucky",34.4,"",1139,"Income","$50,000 - $74,999"
2011,"Kentucky",23.4,"",1424,"Income","$75,000 or greater"
2011,"Kentucky",26.6,"",2860,"Income","Data not reported"
2011,"Kentucky",36.6,"",1556,"Income","Less than $15,000"
2011,"Louisiana",36.7,"",1865,"Income","$15,000 - $24,999"
2011,"Louisiana",36.8,"",1013,"Income","$25,000 - $34,999"
2011,"Louisiana",36.3,"",1182,"Income","$35,000 - $49,999"
2011,"Louisiana",36.8,"",1112,"Income","$50,000 - $74,999"
2011,"Louisiana",29.9,"",2020,"Income","$75,000 or greater"
2011,"Louisiana",26.1,"",1704,"Income","Data not reported"
2011,"Louisiana",35.4,"",1508,"Income","Less than $15,000"
2011,"Maine",33.7,"",2180,"Income","$15,000 - $24,999"
2011,"Maine",30,"",1397,"Income","$25,000 - $34,999"
2011,"Maine",27.8,"",1791,"Income","$35,000 - $49,999"
2011,"Maine",25.8,"",1882,"Income","$50,000 - $74,999"
2011,"Maine",22.5,"",2570,"Income","$75,000 or greater"
2011,"Maine",24.3,"",1286,"Income","Data not reported"
2011,"Maine",31.7,"",1537,"Income","Less than $15,000"
2011,"Maryland",31,"",1088,"Income","$15,000 - $24,999"
2011,"Maryland",31.2,"",740,"Income","$25,000 - $34,999"
2011,"Maryland",36.8,"",1033,"Income","$35,000 - $49,999"
2011,"Maryland",29.6,"",1273,"Income","$50,000 - $74,999"
2011,"Maryland",24.4,"",3414,"Income","$75,000 or greater"
2011,"Maryland",23.4,"",1373,"Income","Data not reported"
2011,"Maryland",35,"",529,"Income","Less than $15,000"
2011,"Massachusetts",26.1,"",3020,"Income","$15,000 - $24,999"
2011,"Massachusetts",22.9,"",1853,"Income","$25,000 - $34,999"
2011,"Massachusetts",25.4,"",2368,"Income","$35,000 - $49,999"
2011,"Massachusetts",24.6,"",2587,"Income","$50,000 - $74,999"
2011,"Massachusetts",19.3,"",5958,"Income","$75,000 or greater"
2011,"Massachusetts",19.7,"",2919,"Income","Data not reported"
2011,"Massachusetts",29.4,"",1827,"Income","Less than $15,000"
2011,"Michigan",35.4,"",1770,"Income","$15,000 - $24,999"
2011,"Michigan",30.5,"",1301,"Income","$25,000 - $34,999"
2011,"Michigan",28.6,"",1486,"Income","$35,000 - $49,999"
2011,"Michigan",32.6,"",1498,"Income","$50,000 - $74,999"
